map,encounter_method,biome,min_bst,max_bst,slot_count
MAP_ROUTE101,WILD_AREA_LAND,Grassland,150,250,LAND_WILD_COUNT
MAP_ROUTE102,WILD_AREA_LAND,Grassland,160,260,LAND_WILD_COUNT
MAP_ROUTE102,WILD_AREA_WATER,Freshwater,160,260,WATER_WILD_COUNT
MAP_ROUTE102,WILD_AREA_FISHING,Freshwater,160,260,FISH_WILD_COUNT
MAP_ROUTE103,WILD_AREA_LAND,Grassland,170,270,LAND_WILD_COUNT
MAP_ROUTE103,WILD_AREA_WATER,Freshwater,170,270,WATER_WILD_COUNT
MAP_ROUTE103,WILD_AREA_FISHING,Freshwater,170,270,FISH_WILD_COUNT
MAP_ROUTE104,WILD_AREA_LAND,Beach and Coast,180,280,LAND_WILD_COUNT
MAP_ROUTE104,WILD_AREA_WATER,Freshwater,180,280,WATER_WILD_COUNT
MAP_ROUTE104,WILD_AREA_FISHING,Freshwater,180,280,FISH_WILD_COUNT
MAP_ROUTE105,WILD_AREA_WATER,Ocean,190,290,WATER_WILD_COUNT
MAP_ROUTE105,WILD_AREA_FISHING,Ocean,190,290,FISH_WILD_COUNT
MAP_ROUTE110,WILD_AREA_LAND,Beach and Coast,230,330,LAND_WILD_COUNT
MAP_ROUTE110,WILD_AREA_WATER,Freshwater,230,330,WATER_WILD_COUNT
MAP_ROUTE110,WILD_AREA_FISHING,Freshwater,230,330,FISH_WILD_COUNT
MAP_ROUTE111,WILD_AREA_LAND,Desert,240,340,LAND_WILD_COUNT
MAP_ROUTE111,WILD_AREA_WATER,Freshwater,240,340,WATER_WILD_COUNT
MAP_ROUTE111,WILD_AREA_ROCKS,Desert,240,340,ROCK_WILD_COUNT
MAP_ROUTE111,WILD_AREA_FISHING,Freshwater,240,340,FISH_WILD_COUNT
MAP_ROUTE112,WILD_AREA_LAND,Mountain,250,350,LAND_WILD_COUNT
MAP_ROUTE113,WILD_AREA_LAND,Volcanic,260,360,LAND_WILD_COUNT
MAP_ROUTE114,WILD_AREA_LAND,Mountain,270,370,LAND_WILD_COUNT
MAP_ROUTE114,WILD_AREA_WATER,Freshwater,270,370,WATER_WILD_COUNT
MAP_ROUTE114,WILD_AREA_ROCKS,Mountain,270,370,ROCK_WILD_COUNT
MAP_ROUTE114,WILD_AREA_FISHING,Freshwater,270,370,FISH_WILD_COUNT
MAP_ROUTE116,WILD_AREA_LAND,Grassland,290,390,LAND_WILD_COUNT
MAP_ROUTE117,WILD_AREA_LAND,Grassland,300,400,LAND_WILD_COUNT
MAP_ROUTE117,WILD_AREA_WATER,Freshwater,300,400,WATER_WILD_COUNT
MAP_ROUTE117,WILD_AREA_FISHING,Freshwater,300,400,FISH_WILD_COUNT
MAP_ROUTE118,WILD_AREA_LAND,Beach and Coast,310,410,LAND_WILD_COUNT
MAP_ROUTE118,WILD_AREA_WATER,Freshwater,310,410,WATER_WILD_COUNT
MAP_ROUTE118,WILD_AREA_FISHING,Freshwater,310,410,FISH_WILD_COUNT
MAP_ROUTE124,WILD_AREA_WATER,Ocean,370,470,WATER_WILD_COUNT
MAP_ROUTE124,WILD_AREA_FISHING,Ocean,370,470,FISH_WILD_COUNT
MAP_PETALBURG_WOODS,WILD_AREA_LAND,Forest,180,280,LAND_WILD_COUNT
MAP_RUSTURF_TUNNEL,WILD_AREA_LAND,Cave,270,370,LAND_WILD_COUNT
MAP_GRANITE_CAVE_1F,WILD_AREA_LAND,Cave,220,320,LAND_WILD_COUNT
MAP_GRANITE_CAVE_B1F,WILD_AREA_LAND,Cave,220,320,LAND_WILD_COUNT
MAP_MT_PYRE_1F,WILD_AREA_LAND,Mountain,330,430,LAND_WILD_COUNT
MAP_VICTORY_ROAD_1F,WILD_AREA_LAND,Cave,490,560,LAND_WILD_COUNT
