biome,species_constant,species_name,national_dex,types
City,SPECIES_ABRA,Abra,NATIONAL_DEX_ABRA,PSYCHIC
City,SPECIES_ABSOL,Absol,NATIONAL_DEX_ABSOL,DARK
City,SPECIES_ACCELGOR,Accelgor,NATIONAL_DEX_ACCELGOR,BUG
City,SPECIES_AEGISLASH_SHIELD,Aegislash,NATIONAL_DEX_AEGISLASH,STEEL/GHOST
City,SPECIES_AERODACTYL,Aerodactyl,NATIONAL_DEX_AERODACTYL,ROCK/FLYING
City,SPECIES_AGGRON,Aggron,NATIONAL_DEX_AGGRON,STEEL/ROCK
City,SPECIES_AIPOM,Aipom,NATIONAL_DEX_AIPOM,NORMAL
City,SPECIES_ALAKAZAM,Alakazam,NATIONAL_DEX_ALAKAZAM,PSYCHIC
City,SPECIES_ALCREMIE,Alcremie,NATIONAL_DEX_ALCREMIE,FAIRY
City,SPECIES_ALOMOMOLA,Alomomola,NATIONAL_DEX_ALOMOMOLA,WATER
City,SPECIES_ALTARIA,Altaria,NATIONAL_DEX_ALTARIA,DRAGON/FLYING
City,SPECIES_AMBIPOM,Ambipom,NATIONAL_DEX_AMBIPOM,NORMAL
City,SPECIES_AMOONGUSS,Amoonguss,NATIONAL_DEX_AMOONGUSS,GRASS/POISON
City,SPECIES_AMPHAROS,Ampharos,NATIONAL_DEX_AMPHAROS,ELECTRIC
City,SPECIES_ANNIHILAPE,Annihilape,NATIONAL_DEX_ANNIHILAPE,FIGHTING/GHOST
City,SPECIES_ANORITH,Anorith,NATIONAL_DEX_ANORITH,ROCK/BUG
City,SPECIES_ARAQUANID,Araquanid,NATIONAL_DEX_ARAQUANID,WATER/BUG
City,SPECIES_ARBOK,Arbok,NATIONAL_DEX_ARBOK,POISON
City,SPECIES_ARBOLIVA,Arboliva,NATIONAL_DEX_ARBOLIVA,GRASS/NORMAL
City,SPECIES_ARCHALUDON,Archaludon,NATIONAL_DEX_ARCHALUDON,STEEL/DRAGON
City,SPECIES_ARCHEN,Archen,NATIONAL_DEX_ARCHEN,ROCK/FLYING
City,SPECIES_ARCHEOPS,Archeops,NATIONAL_DEX_ARCHEOPS,ROCK/FLYING
City,SPECIES_ARCTOVISH,Arctovish,NATIONAL_DEX_ARCTOVISH,WATER/ICE
City,SPECIES_ARCTOZOLT,Arctozolt,NATIONAL_DEX_ARCTOZOLT,ELECTRIC/ICE
City,SPECIES_ARIADOS,Ariados,NATIONAL_DEX_ARIADOS,BUG/POISON
City,SPECIES_ARMALDO,Armaldo,NATIONAL_DEX_ARMALDO,ROCK/BUG
City,SPECIES_ARMAROUGE,Armarouge,NATIONAL_DEX_ARMAROUGE,FIRE/PSYCHIC
City,SPECIES_AROMATISSE,Aromatisse,NATIONAL_DEX_AROMATISSE,FAIRY
City,SPECIES_ARON,Aron,NATIONAL_DEX_ARON,STEEL/ROCK
City,SPECIES_ARROKUDA,Arrokuda,NATIONAL_DEX_ARROKUDA,WATER
City,SPECIES_AUDINO,Audino,NATIONAL_DEX_AUDINO,NORMAL
City,SPECIES_AZUMARILL,Azumarill,NATIONAL_DEX_AZUMARILL,WATER/FAIRY
City,SPECIES_AZURILL,Azurill,NATIONAL_DEX_AZURILL,NORMAL/FAIRY
City,SPECIES_BALTOY,Baltoy,NATIONAL_DEX_BALTOY,GROUND/PSYCHIC
City,SPECIES_BANETTE,Banette,NATIONAL_DEX_BANETTE,GHOST
City,SPECIES_BARBARACLE,Barbaracle,NATIONAL_DEX_BARBARACLE,ROCK/WATER
City,SPECIES_BARBOACH,Barboach,NATIONAL_DEX_BARBOACH,WATER/GROUND
City,SPECIES_BARRASKEWDA,Barraskewda,NATIONAL_DEX_BARRASKEWDA,WATER
City,SPECIES_BASCULEGION_M,Basculegion,NATIONAL_DEX_BASCULEGION,WATER/GHOST
City,SPECIES_BASCULIN_RED_STRIPED,Basculin,NATIONAL_DEX_BASCULIN,WATER
City,SPECIES_BASTIODON,Bastiodon,NATIONAL_DEX_BASTIODON,ROCK/STEEL
City,SPECIES_BEAUTIFLY,Beautifly,NATIONAL_DEX_BEAUTIFLY,BUG/FLYING
City,SPECIES_BEEDRILL,Beedrill,NATIONAL_DEX_BEEDRILL,BUG/POISON
City,SPECIES_BEHEEYEM,Beheeyem,NATIONAL_DEX_BEHEEYEM,PSYCHIC
City,SPECIES_BELDUM,Beldum,NATIONAL_DEX_BELDUM,STEEL/PSYCHIC
City,SPECIES_BELLIBOLT,Bellibolt,NATIONAL_DEX_BELLIBOLT,ELECTRIC
City,SPECIES_BELLSPROUT,Bellsprout,NATIONAL_DEX_BELLSPROUT,GRASS/POISON
City,SPECIES_BEWEAR,Bewear,NATIONAL_DEX_BEWEAR,NORMAL/FIGHTING
City,SPECIES_BIBAREL,Bibarel,NATIONAL_DEX_BIBAREL,NORMAL/WATER
City,SPECIES_BIDOOF,Bidoof,NATIONAL_DEX_BIDOOF,NORMAL
